name,typ,node,maxcap,marginal_cost,mincap,var_om,no_load,st_cost,ramp,minup,mindn
VANCOUVER,ngcc,bus_13265,248.0,16.91,115.79,3,744.0,17360.0,248.0,4,4
TACOMA,ngcc,bus_10209,560.1,12.272,185.21,3,1680.3000000000002,39207.0,560.1,4,4
ANACORTES,ngcc,bus_10228,166.8,11.865,46.7,3,500.40000000000003,11676.0,166.8,4,4
SUMAS,ngcc,bus_10228,125.5,7.22,58.73,3,376.5,8785.0,125.5,4,4
BURLINGTON,ngcc,bus_10228,376.0,15.8475,118.95,3,1128.0,26320.0,376.0,4,4
BLAINE,ngcc,bus_10228,169.2,14.365,54.89,3,507.59999999999997,11844.0,169.2,4,4
FERNDALE,ngcc,bus_10228,285.51,15.803333333333333,60.370000000000005,3,856.53,19985.7,285.51,4,4
GOLDENDALE,ngcc,bus_13669,284.3,15.195,60.76,3,852.9000000000001,19901.0,284.3,4,4
RATHDRUM,ngcc,bus_10677,467.9,15.78,125.37,3,1403.6999999999998,32753.0,467.9,4,4
NEWPLYMOUTH,ngcc,bus_10944,318.5,16.075,113.28,3,955.5,22295.0,318.5,4,4
CENTRALIA,coal,bus_10859,1459.8,10.715,669.44,4,4379.4,102186.0,481.734,12,12
ELMA,ngcc,bus_10859,650.01,17.220000000000002,143.54,3,1950.03,45500.7,650.01,4,4
CHEHALIS,ngcc,bus_10930,698.01,17.583333333333332,212.9,3,2094.0299999999997,48860.7,698.01,4,4
PASCO,ngcc,bus_10609,45.6,3.455,10.11,3,136.8,3192.0,45.6,4,4
LONGVIEW,ngcc,bus_13693,319.0,15.695,62.46,3,957.0,22330.0,319.0,4,4
CLATSKANIE,ngcc,bus_13693,1360.52,12.846666666666668,364.52,3,4081.56,95236.4,1360.52,4,4
KLAMATHFALLS,ngcc,bus_13366,117.6,8.057500000000001,30.82,3,352.79999999999995,8232.0,117.6,4,4
HERMISTON,ngcc,bus_13509,1310.6,17.37285714285714,566.03,3,3931.7999999999997,91742.0,1310.6,4,4
BOARDMAN,ngcc,bus_13420,266.3,15.775,78.25,3,798.9000000000001,18641.0,266.3,4,4
KLAMATHFALLS_2,ngcc,bus_20390,501.51,10.516666666666667,134.3,3,1504.53,35105.7,501.51,4,4
EUREKA,ngcc,bus_20390,166.97999999999996,14.865,56.29,3,500.9399999999999,11688.599999999997,166.97999999999996,4,4
BOARDMAN_3,ngcc,bus_13698,929.2,11.89,288.65,3,2787.6000000000004,65044.0,929.2,4,4
MOUNTAINHOME,ngcc,bus_74001,310.9,6.008,93.78,3,932.6999999999999,21763.0,310.9,4,4
MCCLELLAN,ngcc,bus_20136,77.0,18.03,23.9,3,231.0,5390.0,77.0,4,4
YUBACITY,ngcc,bus_20136,258.8,16.541666666666668,79.5,3,776.4000000000001,18116.0,258.8,4,4
ROSEVILLE,ngcc,bus_20136,164.01,16.156666666666666,45.03,3,492.03,11480.699999999999,164.01,4,4
ELKGROVE,ngcc,bus_20136,35.75,17.72,12.61,3,107.25,2502.5,35.75,4,4
SACRAMENTO,ngcc,bus_20136,367.3,11.496666666666664,112.77,3,1101.9,25711.0,367.3,4,4
REDBLUFF,ngcc,bus_20136,46.38000000000001,7.848333333333333,13.7,3,139.14000000000004,3246.600000000001,46.38000000000001,4,4
LODI,ngcc,bus_20136,54.8,17.335,14.73,3,164.39999999999998,3836.0,54.8,4,4
MAXWELL,ngcc,bus_20299,741.01,18.3825,198.23,3,2223.0299999999997,51870.7,741.01,4,4
CROCKETT,ngcc,bus_21108,247.4,18.62,49.35,3,742.2,17318.0,247.4,4,4
ELSOBRANTE,ngcc,bus_21108,125.2,16.88,35.19,3,375.6,8764.0,125.2,4,4
ELKGROVE_4,ngcc,bus_23099,89.75,17.825000000000003,20.88,3,269.25,6282.5,89.75,4,4
MODESTO,ngcc,bus_23099,564.8799999999999,12.014,143.61999999999998,3,1694.6399999999996,39541.59999999999,564.8799999999999,4,4
TURLOCK,ngcc,bus_23099,374.4,17.028333333333332,102.49,3,1123.1999999999998,26208.0,374.4,4,4
SPARKS,ngcc,bus_30001,369.6,10.195,98.46,3,1108.8000000000002,25872.0,369.6,4,4
YERINGTON,ngcc,bus_30001,230.0,20.28,68.02,3,690.0,16100.0,230.0,4,4
PITTSBURG,ngcc,bus_21681,1621.8199999999997,16.14142857142857,469.25,3,4865.459999999999,113527.39999999998,1621.8199999999997,4,4
ANTIOCH,ngcc,bus_21681,619.71,17.853333333333335,178.19,3,1859.13,43379.700000000004,619.71,4,4
SUISUNCITY,ngcc,bus_21681,141.0,17.37,44.51,3,423.0,9870.0,141.0,4,4
BYRON,ngcc,bus_21681,199.6,13.3375,75.93,3,598.8,13972.0,199.6,4,4
VACAVILLE,ngcc,bus_21681,60.5,17.74,26.37,3,181.5,4235.0,60.5,4,4
TRACY,ngcc,bus_21681,336.09000000000003,17.453333333333333,59.91,3,1008.2700000000001,23526.300000000003,336.09000000000003,4,4
YUBACITY_5,ngcc,bus_20428,636.0,11.986666666666666,229.74,3,1908.0,44520.0,636.0,4,4
HERALD,ngcc,bus_20428,530.01,19.11,186.49,3,1590.03,37100.7,530.01,4,4
LODI_6,ngcc,bus_20428,288.9,17.795,70.55,3,866.6999999999999,20223.0,288.9,4,4
ANTIOCH_7,ngcc,bus_21596,828.0,17.825,166.97,3,2484.0,57960.0,828.0,4,4
HAYWARD,ngcc,bus_21596,654.99,18.096666666666668,253.0,3,1964.97,45849.3,654.99,4,4
SANTACLARA,ngcc,bus_21497,299.1700000000001,13.23846153846154,70.5,3,897.5100000000002,20941.900000000005,299.1700000000001,4,4
SANJOSE,coal,bus_21497,393.4,8.9025,99.91,4,1180.1999999999998,27538.0,129.822,12,12
STANFORD,ngcc,bus_21497,52.8,16.375,14.919999999999998,3,158.39999999999998,3696.0,52.8,4,4
GILROY,ngcc,bus_21497,265.0,14.956,99.12,3,795.0,18550.0,265.0,4,4
LODI_8,ngcc,bus_21497,77.4,18.005000000000003,18.95,3,232.20000000000002,5418.0,77.4,4,4
PITTSBURG_9,ngcc,bus_21646,1403.91,13.723333333333334,468.26,3,4211.7300000000005,98273.70000000001,1403.91,4,4
ANTIOCH_10,ngcc,bus_21165,47.0,19.28,19.29,3,141.0,3290.0,47.0,4,4
BENICIA,ngcc,bus_21165,98.0,17.04,44.6,3,294.0,6860.0,98.0,4,4
MARTINEZ,ngcc,bus_21165,213.48,17.885,60.17,3,640.4399999999999,14943.599999999999,213.48,4,4
ELSOBRANTE_11,ngcc,bus_21165,30.4,16.83,12.95,3,91.19999999999999,2128.0,30.4,4,4
OAKLAND,coal,bus_21140,223.5,11.126666666666663,58.330000000000005,4,670.5,15645.0,73.75500000000001,12,12
ALAMEDA,ngcc,bus_21140,83.3,8.73,26.53,3,249.89999999999998,5831.0,83.3,4,4
COYOTE,ngcc,bus_23377,635.01,18.426666666666662,198.49,3,1905.03,44450.7,635.01,4,4
SANJOAQUIN,ngcc,bus_23377,432.0,17.975,115.51,3,1296.0,30240.0,432.0,4,4
MOSSLANDING,ngcc,bus_23377,2802.0,17.338749999999997,1120.65,3,8406.0,196140.0,2802.0,4,4
LEMOORE,ngcc,bus_23230,186.0,6.076666666666667,49.39000000000001,3,558.0,13020.0,186.0,4,4
COALINGA,ngcc,bus_23230,38.4,16.45,15.82,3,115.19999999999999,2688.0,38.4,4,4
HANFORD,ngcc,bus_23230,92.2,16.705,32.7,3,276.6,6454.0,92.2,4,4
BAKERSFIELD,coal,bus_23230,84.2,9.82,34.43,4,252.60000000000002,5894.0,27.786,12,12
DELANO,ngcc,bus_23230,48.5,19.94,17.35,3,145.5,3395.0,48.5,4,4
FIREBAUGH,ngcc,bus_23168,250.2,17.892500000000002,86.38,3,750.5999999999999,17514.0,250.2,4,4
FRESNO,ngcc,bus_23168,121.0,16.185,40.9,3,363.0,8470.0,121.0,4,4
CHOWCHILLA,ngcc,bus_23168,49.61999999999999,2.48,13.43,3,148.85999999999996,3473.399999999999,49.61999999999999,4,4
TRONA,coal,bus_28850,92.49,10.828,26.66,4,277.46999999999997,6474.299999999999,30.5217,12,12
VICTORVILLE,ngcc,bus_28850,872.0,14.5,314.97,3,2616.0,61040.0,872.0,4,4
SANGER,ngcc,bus_23417,97.7,13.1675,31.930000000000003,3,293.1,6839.0,97.7,4,4
SANJOAQUIN_12,ngcc,bus_23417,82.59,17.12333333333333,25.26,3,247.77,5781.3,82.59,4,4
SANARDO,ngcc,bus_26133,77.1,16.375,24.53,3,231.29999999999998,5397.0,77.1,4,4
KINGCITY,ngcc,bus_26133,180.5,18.326666666666664,43.56,3,541.5,12635.0,180.5,4,4
RIPON,ngcc,bus_23060,170.5,12.293333333333331,47.7,3,511.5,11935.0,170.5,4,4
LATHROP,ngcc,bus_23054,46.0,17.94,6.59,3,138.0,3220.0,46.0,4,4
JEAN,ngcc,bus_23510,695.91,14.22,287.04,3,2087.73,48713.7,695.91,4,4
OXNARD,ngcc,bus_25829,2215.0,15.653333333333334,673.71,3,6645.0,155050.0,2215.0,4,4
CARSON,ngcc,bus_25385,247.71000000000004,8.222999999999999,78.35,3,743.1300000000001,17339.700000000004,247.71000000000004,4,4
LONGBEACH,ngcc,bus_25385,93.0,18.085,34.81,3,279.0,6510.0,93.0,4,4
ELSEGUNDO,ngcc,bus_25385,180.12,13.991666666666667,55.64,3,540.36,12608.4,180.12,4,4
TORRANCE,ngcc,bus_25385,49.3,5.696666666666666,13.3,3,147.89999999999998,3451.0,49.3,4,4
WILMINGTON,ngcc,bus_25385,107.4,17.386666666666667,38.88,3,322.20000000000005,7518.0,107.4,4,4
TUPMAN,ngcc,bus_26157,669.6,6.752000000000001,191.51,3,2008.8000000000002,46872.0,669.6,4,4
MCKITTRICK,ngcc,bus_26157,140.20000000000002,18.1375,47.49999999999999,3,420.6,9814.000000000002,140.20000000000002,4,4
TAFT,ngcc,bus_26157,56.3,11.066666666666668,9.19,3,168.89999999999998,3941.0,56.3,4,4
FELLOWS,ngcc,bus_26157,273.1,18.4075,103.92,3,819.3000000000001,19117.0,273.1,4,4
OXNARD_13,ngcc,bus_25096,198.1,13.85,51.92,3,594.3,13867.0,198.1,4,4
GOLETA,ngcc,bus_26145,107.3,17.353333333333335,42.62,3,321.9,7511.0,107.3,4,4
NORWALK,ngcc,bus_25289,65.14999999999999,8.545,16.78,3,195.45,4560.499999999999,65.14999999999999,4,4
PASADENA,ngcc,bus_25289,89.3,17.63,34.980000000000004,3,267.9,6251.0,89.3,4,4
LOSANGELES,ngcc,bus_25289,170.79,13.310000000000002,63.87,3,512.37,11955.3,170.79,4,4
SUNVALLEY,ngcc,bus_25289,480.5,13.183333333333332,138.06,3,1441.5,33635.0,480.5,4,4
NEWHALL,ngcc,bus_25289,161.10000000000002,11.355,55.3,3,483.30000000000007,11277.000000000002,161.10000000000002,4,4
BURBANK,ngcc,bus_25289,387.6,9.895,96.71,3,1162.8000000000002,27132.0,387.6,4,4
GLENDALE,ngcc,bus_25289,57.4,0.0,18.3,3,172.2,4018.0,57.4,4,4
CARSON_14,ngcc,bus_26215,405.0,14.963333333333331,135.72,3,1215.0,28350.0,405.0,4,4
LONGBEACH_15,ngcc,bus_26215,1853.65,16.731111111111108,600.3399999999999,3,5560.950000000001,129755.5,1853.65,4,4
WILMINGTON_16,ngcc,bus_26215,548.11,18.215,163.17000000000002,3,1644.33,38367.700000000004,548.11,4,4
REDONDOBEACH,ngcc,bus_26215,987.3,19.83333333333333,371.22,3,2961.8999999999996,69111.0,987.3,4,4
PLAYADELREY,ngcc,bus_26215,823.1999999999999,20.293333333333337,271.8,3,2469.6,57623.99999999999,823.1999999999999,4,4
HUNTINGTONBEACH,ngcc,bus_26215,436.0,10.05,100.93,3,1308.0,30520.0,436.0,4,4
LAPUENTE,ngcc,bus_28797,500.0,18.526000000000003,152.42,3,1500.0,35000.0,500.0,4,4
POMONA,ngcc,bus_28797,56.6,9.285,11.84,3,169.8,3962.0,56.6,4,4
WHITTIER,ngcc,bus_28797,59.88,11.4925,27.450000000000003,3,179.64000000000001,4191.6,59.88,4,4
