Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
PHOENIX_Nuc,408441,NUC (Nuclear),4209.6,1046.9,8.53
TONOPAH_NG,408441,NG (Natural Gas),1325.1,393.07,4.177264254333333
PHOENIX_NG,408441,NG (Natural Gas),1207.38,449.72,3.62278356275
RICHLAND_Nuc,135041,NUC (Nuclear),1200.0,469.13,8.45
BOARDMAN_C,135041,BIT (Bituminous Coal),642.2,188.21,9.094507669
HERMISTON_NG,135041,NG (Natural Gas),1310.6,566.03,4.969422978714285
BOARDMAN_NG,135041,NG (Natural Gas),287.0,100.44,2.437958263
GOLDENDALE_NG,135041,NG (Natural Gas),284.3,60.76,4.87330254
AVILABEACH_Nuc,261331,NUC (Nuclear),2323.0,296.08000000000004,8.44
MCKITTRICK_NG,261331,NG (Natural Gas),1567.9,496.58,5.107528733666666
FELLOWS_NG,261331,NG (Natural Gas),605.4000000000001,111.58,3.3332731429999995
FIREBAUGH_NG,261331,NG (Natural Gas),250.2,86.38,4.5751637325
KINGCITY_NG,261331,NG (Natural Gas),180.5,43.56,4.951989954333334
SANARDO_NG,261331,NG (Natural Gas),77.1,24.53,4.6526597335
COALINGA_NG,261331,NG (Natural Gas),38.4,15.82,4.652149321
SANJOAQUIN_NG,261331,NG (Natural Gas),82.59,25.26,4.629603543666666
TUPMAN_NG,261331,NG (Natural Gas),46.6,9.38,4.513368984
DELTA_C,500241,BIT (Bituminous Coal),1654.0,221.07,8.517034100250001
HUNTINGTON_C,500241,BIT (Bituminous Coal),1037.3,382.51,8.612997447000001
FRUITLAND_C,600031,BIT (Bituminous Coal),1636.2,482.75,8.948450007
CRAIG_C,600031,BIT (Bituminous Coal),1427.61,461.14,8.816982260333333
HAYDEN_C,600031,BIT (Bituminous Coal),465.4,95.3,8.4097935095
WATERFLOW_C,600031,BIT (Bituminous Coal),1848.0,380.85,8.21840230325
NUCLA_C,600031,BIT (Bituminous Coal),113.8,28.74,9.46414136225
RIFLE_NG,600031,NG (Natural Gas),110.6,32.989999999999995,2.6739538452
OXNARD_NG,258301,NG (Natural Gas),2413.1,725.6300000000001,3.9705640475
GOLETA_NG,258301,NG (Natural Gas),107.3,42.62,4.517340999
PAGE_C,407871,BIT (Bituminous Coal),2409.3,798.67,8.954581920999999
SAINTGEORGE_NG,407871,NG (Natural Gas),80.0,20.46,2.0558185895
COLSTRIP_C,770011,BIT (Bituminous Coal),2318.1,650.4300000000001,8.5888005454
BILLINGS_C,770011,BIT (Bituminous Coal),240.8,51.17,8.2201733305
HARDIN_C,770011,BIT (Bituminous Coal),115.7,36.52,8.210912907
ANACONDA_NG,770011,NG (Natural Gas),135.4,50.08,2.3574089995
BRUSH_C,601941,BIT (Bituminous Coal),552.3,78.79,8.941106484
WELLINGTON_C,601941,BIT (Bituminous Coal),800.4000000000001,247.36,8.242653739333333
DENVER_C,601941,BIT (Bituminous Coal),586.3099999999998,164.07,7.933221159400001
KEENESBURG_NG,601941,NG (Natural Gas),685.11,246.77,5.015047094000001
FOUNTAIN_C,601941,BIT (Bituminous Coal),282.6,99.3,9.207777184666666
WHEATLAND_C,601941,BIT (Bituminous Coal),1710.0,414.31,8.264099757333334
BOULDER_C,601941,BIT (Bituminous Coal),251.0,55.58,8.227582289499999
FOUNTAIN_NG,601941,NG (Natural Gas),768.9900000000001,166.78999999999996,4.448247922
PLATTEVILLE_NG,601941,NG (Natural Gas),1185.48,481.17,2.7581665205714283
AURORA_NG,601941,NG (Natural Gas),397.8,147.60000000000002,4.8983084340000005
COLORADOSPRINGS_C,601941,BIT (Bituminous Coal),257.01,79.69,8.400537632999999
COMMERCECITY_NG,601941,NG (Natural Gas),154.2,29.25,4.799749687
DENVER_NG,601941,NG (Natural Gas),269.01000000000005,54.48,3.526185254
BOULDER_NG,601941,NG (Natural Gas),175.2,59.37,2.6478747202
FORTLUPTON_NG,601941,NG (Natural Gas),497.69999999999993,120.82000000000002,4.718237190875
BURLINGTON_C,601941,BIT (Bituminous Coal),129.4,47.19,7.651625424500001
FREDERICK_NG,601941,NG (Natural Gas),394.0,136.49,2.436760269
BRUSH_NG,601941,NG (Natural Gas),597.22,156.56,3.038615645
LIMON_NG,601941,NG (Natural Gas),154.2,37.06,4.6228710465
LAMAR_C,601941,BIT (Bituminous Coal),43.5,17.89,7.9745314755
ARVADA_NG,601941,NG (Natural Gas),231.6,82.55,2.654754623083333
CHEYENNE_NG,601941,NG (Natural Gas),139.99,33.480000000000004,4.7313746025
PUEBLO_NG,601941,NG (Natural Gas),33.33,15.58,4.749769342
COLORADOSPRINGS_NG,601941,NG (Natural Gas),59.61,18.18,4.749769342
PUEBLO_C,403671,BIT (Bituminous Coal),1635.3000000000002,611.8,8.933083023666667
SPRINGERVILLE_C,403671,BIT (Bituminous Coal),1765.8,384.93,8.5911576945
JOSEPHCITY_C,403671,BIT (Bituminous Coal),1128.8,393.08,8.3791463805
PREWITT_C,403671,BIT (Bituminous Coal),257.0,53.25,8.446400829
SAINTJOHNS_C,403671,BIT (Bituminous Coal),821.8,299.65,8.3795766385
GILBERT_NG,403671,NG (Natural Gas),1326.0,379.11,5.025952209500001
ALBUQUERQUE_NG,403671,NG (Natural Gas),317.69,108.29999999999998,4.906500971500001
TEMPE_NG,403671,NG (Natural Gas),626.8,141.71,3.541223519625
CHANDLER_NG,403671,NG (Natural Gas),726.0,184.71,4.815250677666666
PUEBLO_NG_2,403671,NG (Natural Gas),366.6499999999999,115.23,4.728320078714286
ALGODONES_NG,403671,NG (Natural Gas),45.0,13.06,2.7253471403333336
CASTLEDALE_C,500071,BIT (Bituminous Coal),1577.19,296.35,8.900557503333333
OREM_NG,500071,NG (Natural Gas),1392.48,370.22,3.5439141948571424
MONA_NG,500071,NG (Natural Gas),648.99,208.1,5.030309215333332
HELPER_C,500071,BIT (Bituminous Coal),208.6,49.9,8.192119736999999
PAYSON_NG,500071,NG (Natural Gas),140.0,43.07,3.9599796075
SUNNYSIDE_C,500071,BIT (Bituminous Coal),58.1,6.34,8.114104596
MAGNA_C,500071,BIT (Bituminous Coal),213.8,41.0,7.651218644799999
SALTLAKECITY_NG,500071,NG (Natural Gas),259.0,74.98,3.4401773367500006
GRANTSVILLE_NG,500071,NG (Natural Gas),48.0,17.07,4.844094488
VERNAL_C,503161,BIT (Bituminous Coal),499.5,191.6,8.854509546
SALTLAKECITY_NG_3,503161,NG (Natural Gas),524.49,143.86,3.656464551888889
KEMMERER_NG,503161,NG (Natural Gas),108.0,44.7,4.695952191333333
BOUNTIFUL_NG,503161,NG (Natural Gas),30.39,8.9,2.977745407
GREENRIVER_C,503161,BIT (Bituminous Coal),70.98,23.54,7.58577175275
PITTSBURG_NG,216471,NG (Natural Gas),1403.91,468.26,3.6552454746666654
HAYWARD_NG,216471,NG (Natural Gas),654.99,253.0,5.035262147333333
ANTIOCH_NG,216471,NG (Natural Gas),828.0,166.97,5.0112838365000005
LODI_NG,216471,NG (Natural Gas),185.0,58.43,4.964897501
SUNCITY_NG,261001,NG (Natural Gas),819.0,228.42,2.720162225
REDONDOBEACH_NG,261001,NG (Natural Gas),1316.4,454.78,5.2714185195
LONGBEACH_NG,261001,NG (Natural Gas),2173.98,657.3299999999999,4.4873755521
PLAYADELREY_NG,261001,NG (Natural Gas),823.1999999999999,271.8,5.1540752203333335
HUNTINGTONBEACH_NG,261001,NG (Natural Gas),436.0,100.93,2.516904583
WILMINGTON_NG,261001,NG (Natural Gas),548.11,163.17000000000002,5.168842224624999
CARSON_NG,261001,NG (Natural Gas),405.0,135.72,3.373919579166667
ELSEGUNDO_NG,254031,NG (Natural Gas),1059.52,374.25,4.1097693708181815
MOSSLANDING_NG,233771,NG (Natural Gas),2802.0,1120.65,4.520780010875
COYOTE_NG,233771,NG (Natural Gas),635.01,198.49,5.021359173333334
SANJOAQUIN_NG_4,233771,NG (Natural Gas),432.0,115.51,4.8006748715
RANCHOCUCAMONGA_NG,280991,NG (Natural Gas),715.8,204.17,5.078227277
LONGBEACH_NG_5,280991,NG (Natural Gas),1739.1100000000004,464.97,3.9916827256363634
VICTORVILLE_NG,280991,NG (Natural Gas),872.0,314.97,3.9364097982000006
REDLANDS_NG,280991,NG (Natural Gas),1036.8,235.49,4.9389776865
DESERTHOTSPRINGS_NG,280991,NG (Natural Gas),807.1800000000002,218.66,4.122906826428571
LAPUENTE_NG,280991,NG (Natural Gas),500.0,152.42,4.6084577114
COLTON_NG,280991,NG (Natural Gas),150.1,51.04,3.540883570666667
ANAHEIM_NG,280991,NG (Natural Gas),270.2,72.77,3.233332611857143
ONTARIO_NG,280991,NG (Natural Gas),114.6,36.64,3.197729442
STANTON_NG,280991,NG (Natural Gas),49.8,10.51,4.67768595
RIVERSIDE_NG,280991,NG (Natural Gas),236.0,88.33,2.309525441625
BORON_NG,280991,NG (Natural Gas),48.2,9.87,4.673755437
CORONA_NG,280991,NG (Natural Gas),96.0,22.33,3.081834884333334
TRONA_C,280991,BIT (Bituminous Coal),92.49,26.66,8.418172041000002
WHITTIER_NG,280991,NG (Natural Gas),59.88,27.450000000000003,3.40667667975
BREA_NG,280991,NG (Natural Gas),37.2,8.11,2.6886765132
CENTRALIA_C,102281,BIT (Bituminous Coal),1459.8,669.44,8.4508288985
CHEHALIS_NG,102281,NG (Natural Gas),698.01,212.9,5.027103500333333
ELMA_NG,102281,NG (Natural Gas),650.01,143.54,5.0311422750000006
TACOMA_NG,102281,NG (Natural Gas),496.1,166.57999999999998,4.85414995475
FERNDALE_NG,102281,NG (Natural Gas),285.51,60.370000000000005,4.773981165
BURLINGTON_NG,102281,NG (Natural Gas),376.0,118.95,4.770478994
SUMAS_NG,102281,NG (Natural Gas),125.5,58.73,2.37969677
BLAINE_NG,102281,NG (Natural Gas),169.2,54.89,4.8860544215
ANACORTES_NG,102281,NG (Natural Gas),166.8,46.7,3.4557221497500006
MOAPA_C,301461,BIT (Bituminous Coal),294.8,132.05,8.509635974
LASVEGAS_NG,301461,NG (Natural Gas),2010.32,449.62,4.006632712363636
NORTHLASVEGAS_NG,301461,NG (Natural Gas),358.92,117.58,4.455701659833333
CROCKETT_NG,211211,NG (Natural Gas),247.4,49.35,5.095785441
PITTSBURG_NG_6,211211,NG (Natural Gas),1621.8199999999997,469.25,4.338871318571429
ANTIOCH_NG_7,211211,NG (Natural Gas),666.71,197.48,4.9259597325
TRACY_NG,211211,NG (Natural Gas),336.09000000000003,59.91,4.809469793666667
OAKLAND_C,211211,BIT (Bituminous Coal),223.5,58.330000000000005,8.207738298
ELSOBRANTE_NG,211211,NG (Natural Gas),155.6,48.14,4.865021900333333
SANJOSE_NG,211211,NG (Natural Gas),338.1,90.12999999999998,2.014738010142857
SANTACLARA_NG,211211,NG (Natural Gas),245.59000000000003,58.31,4.053334825428571
BENICIA_NG,211211,NG (Natural Gas),98.0,44.6,4.5103229225
BYRON_NG,211211,NG (Natural Gas),199.6,75.93,3.3344140705000003
SUISUNCITY_NG,211211,NG (Natural Gas),141.0,44.51,4.712425393666666
MARTINEZ_NG,211211,NG (Natural Gas),213.48,60.17,4.585824996833333
ALAMEDA_NG,211211,NG (Natural Gas),83.3,26.53,2.314432201
STANFORD_NG,211211,NG (Natural Gas),52.8,14.919999999999998,4.6270060775
RODEO_NG,211211,NG (Natural Gas),54.900000000000006,15.09,1.5369980976666666
SANTACLARA_C,211211,BIT (Bituminous Coal),53.58,12.19,8.098876027666668
VALMY_C,300011,BIT (Bituminous Coal),567.0,231.03,8.358285899
SPARKS_NG,300011,NG (Natural Gas),1402.4999999999995,332.12,3.1202945075555557
YERINGTON_NG,300011,NG (Natural Gas),230.0,68.02,4.815959815499999
BLYTHE_NG,400041,NG (Natural Gas),591.0,205.54,4.989980928666667
YUMA_NG,400041,NG (Natural Gas),487.6000000000001,142.39,2.849258675
ELCENTRO_NG,400041,NG (Natural Gas),358.30000000000007,105.86,4.717308359333334
VANCOUVER_NG,100931,NG (Natural Gas),248.0,115.79,5.099517491
CLATSKANIE_NG,100931,NG (Natural Gas),1324.5200000000004,354.8,3.799129233058824
LONGVIEW_NG,100931,NG (Natural Gas),319.0,62.46,4.9100360985
LASVEGAS_NG_8,303741,NG (Natural Gas),1465.62,385.16,3.351969514333333
MAXWELL_NG,201361,NG (Natural Gas),741.01,198.23,4.96488960075
YUBACITY_NG,201361,NG (Natural Gas),894.8,309.24,4.227248004555555
SACRAMENTO_NG,201361,NG (Natural Gas),367.3,112.77,2.977039650833333
MCCLELLAN_NG,201361,NG (Natural Gas),77.0,23.9,4.73352586
VACAVILLE_NG,201361,NG (Natural Gas),60.5,26.37,4.700582936
ROSEVILLE_NG,201361,NG (Natural Gas),164.01,45.03,4.7449828683333335
ELKGROVE_NG,201361,NG (Natural Gas),35.75,12.61,4.648478489
LODI_NG_9,201361,NG (Natural Gas),54.8,14.73,4.335917959
REDBLUFF_NG,201361,NG (Natural Gas),46.38000000000001,13.7,2.0962428775000004
ARLINGTON_NG,409941,NG (Natural Gas),3236.4900000000007,962.6200000000002,3.3211280914
SANDIEGO_NG,285491,NG (Natural Gas),1230.8999999999994,371.15,4.417655455764706
CARLSBAD_NG,285491,NG (Natural Gas),981.6,258.76000000000005,4.988324888199999
ESCONDIDO_NG,285491,NG (Natural Gas),558.99,189.19,4.966842436
PALA_NG,285491,NG (Natural Gas),118.0,50.89,4.696142368
ELCAJON_NG,285491,NG (Natural Gas),116.6,30.41,4.652927166
CHULAVISTA_NG,285491,NG (Natural Gas),44.0,6.81,4.664699571
CORONADO_NG,285491,NG (Natural Gas),65.9,12.38,2.17223274475
RANCHOSANTAFE_NG,285491,NG (Natural Gas),33.0,9.31,2.8190223876666667
