Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,568.3846154,380.9413845,396.6142256,555.0227996,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,909.6058823,0,0,458.575,1277.168843,2353.374362,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
2,568.3846154,380.9413845,396.6142256,555.0227996,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,909.6058823,0,0,458.575,1277.168843,2353.374362,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
3,568.3846154,380.9413845,396.6142256,555.0227996,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,909.6058823,0,0,458.575,1220.918843,2277.264684,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
4,568.3846154,380.9413845,396.6142256,555.0227996,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,844.9058823,0,0,404.625,1220.918843,2277.264684,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
5,568.3846154,380.9413845,396.6142256,555.0227996,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,844.9058823,0,0,404.625,1111.231343,2277.264684,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
6,568.3846154,380.9413845,396.6142256,548.8537036,194.1,25388.08047,0,0,0,0,0,0,0,0,0,0,844.9058823,0,0,377.65,1111.231343,2277.264684,158.96,0,0,0,0,0,0,0,0,0,0,0,0,14.18330971
7,910.4999999,553.0535058,659.5939054,1016.823704,267.5864197,24859.3519,0,0,0,0,0,0,0,0,0,0,1103.705882,0,0,404.625,2299.278792,3456.964684,198.7,0,0,0,0,0,0,0,0,0,0,0,0,22.06833974
8,1153.5,472.9372505,262.9796798,548.8537036,138.1864197,956.2150296,0,0,0,0,0,0,0,0,0,0,1172.211765,0,0,701.35,1230.177707,3134.630524,218.57,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
9,775.4999999,361.8837448,323.6517469,548.8537036,138.1864197,956.2150296,0,0,0,0,0,0,0,0,0,0,715.5058823,0,0,377.65,1198.946363,2273.00584,158.96,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
10,775.4999999,361.8837448,323.6517469,548.8537036,138.1864197,956.2150296,0,0,0,0,0,0,0,0,0,0,780.2058823,0,0,377.65,1198.946363,2273.00584,158.96,0,0,0,0,0,0,0,0,0,0,0,0,7.885030032
